meanTout;Gender;Age;NatVent_night;UsesCoolingAlternatives;hw_True;cte_23_7h_True;cte_7_15h_True;cte_15_23h_True;ShadingDevices_No;ShadingDevices_WhenDirectSun;ShadingDevices_AllAfternoon;ShadingDevices_AllMorning;ShadingDevices_AllDay;NatVent_day_ToutCool;NatVent_day_Anytime;NatVent_day_No;hasAC_No;hasAC_DormOrLiving;hasAC_DormAndLiving;hasAC_AllRooms;HouseholdSize;is_31001;is_31002;is_31003;is_31004;is_31005;is_31006;is_31007;is_31008;is_31009;is_31010;is_31011;is_31012;is_31013;is_31014;is_31015;is_31016;isNot_pamplona;before_1980;between_1980_2006;after_2007;dwelling_OldTown;dwelling_Block;dwelling_Tower;dwelling_Detached;dwelling_Other;Rehab_No;Rehab_Yes;Income_below1500;Income_between_1500_3500;Income_above_3500;Occ_NormallyAtHome;Occ_NotAlwaysAtHome;SrfcArea_below90;Storey_UpperFloor;Storey_NotApartment;numOrient_1;numOrient_above2;LivRoom_SrfcAreaWindow_below2;LivRoom_SrfcAreaWindow_above2;Bedroom_SrfcAreaWindow_below2;Bedroom_SrfcAreaWindow_above2;AC_Installed_Yes;WouldYouInstallAC_Yes;hasCoolRoom;hasCoolingAlternatives;cluster_kmeans
27.5;True;39;True;False;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;True;False;True;False;False;True;True;0
27.5;True;29;True;False;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;True;False;False;True;True;False;False;False;True;False;True;False;True;False;True;False;True;0
18.1;False;55;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;False;False;0
29.2;True;44;False;False;True;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;False;True;True;False;False;False;True;True;False;False;False;True;False;True;False;True;False;False;True;True;1
20.7;False;43;True;True;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;False;False;True;1
26.8;False;43;True;True;True;False;True;False;False;False;True;False;False;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;True;False;False;False;True;False;False;False;False;True;True;False;True;False;False;False;False;True;1
16.8;True;54;True;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;True;False;True;True;True;False;False;False;True;False;True;True;False;False;True;False;True;0
29.1;True;40;True;False;True;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;2;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;True;False;True;True;1
26.8;True;26;True;True;True;False;False;True;False;True;False;False;False;True;False;False;True;False;False;False;5;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;True;False;True;1
15.8;False;44;True;False;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;False;6;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;False;True;True;False;False;True;True;True;0
27.5;False;44;True;True;False;False;True;False;False;True;False;False;False;True;False;False;False;True;False;False;4;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;True;False;False;True;0
27.5;False;65;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;True;True;False;False;False;False;True;False;True;False;True;False;True;False;False;0
27.5;True;47;False;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;False;False;5;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;True;False;True;False;True;False;False;1
27.5;False;49;True;True;False;False;True;False;False;True;False;False;False;True;False;False;False;True;False;False;5;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;True;False;True;False;False;True;False;True;False;True;True;False;True;True;0
27.5;True;35;True;True;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;False;1;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;True;False;True;True;True;False;False;False;True;False;True;True;False;False;True;True;True;0
19.6;False;56;True;False;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;False;True;False;False;False;False;0
27.7;True;23;True;True;True;False;True;False;False;False;False;False;True;False;False;True;True;False;False;False;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;True;False;True;False;False;False;True;False;True;False;True;False;True;False;True;1
20.6;True;59;True;True;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;True;False;False;True;False;True;False;False;True;True;False;False;True;False;True;0
29.2;True;54;True;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;True;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;True;False;True;1
27.7;True;41;True;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;True;False;False;True;True;True;0
26.2;True;51;False;False;True;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;True;False;False;True;False;True;False;False;False;False;False;True;False;True;False;True;False;True;False;False;1
23.1;False;41;False;False;False;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;True;False;False;False;True;True;False;True;False;False;True;False;False;True;True;False;False;True;False;False;1
27.7;True;53;True;False;True;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;1;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False;True;True;False;False;False;True;False;True;True;False;False;True;False;False;0
30.9;True;29;True;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;True;False;False;False;False;True;False;True;False;True;False;True;True;True;0
27.5;False;51;False;True;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;True;False;1
22.3;False;55;True;False;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;False;False;True;False;1
27.5;True;33;True;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;True;False;False;True;True;False;False;False;True;False;True;True;False;False;True;True;False;0
18.1;True;58;True;False;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;False;True;False;True;False;True;True;True;0
27.7;True;45;True;False;True;False;True;False;False;True;False;False;False;True;False;False;False;False;False;True;1;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;True;False;0
25.4;False;57;True;True;False;False;False;True;False;True;False;False;False;True;False;False;True;False;False;False;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;True;False;False;True;False;False;False;True;False;True;False;True;False;True;False;True;False;True;0
30.9;True;41;True;False;True;False;False;True;False;False;False;False;True;False;False;True;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;True;False;False;True;False;True;0
26.8;True;36;True;False;True;True;False;False;False;False;False;False;True;True;False;False;False;False;True;False;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;False;False;True;False;True;True;False;False;False;1
23.1;True;53;True;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;8;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;True;False;False;False;True;False;True;False;False;True;False;True;False;True;True;False;False;False;True;True;1
26.2;False;42;True;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;4;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;True;True;False;False;True;True;False;0
27.7;True;44;False;False;True;True;False;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;True;False;False;True;False;True;False;True;False;True;False;False;True;False;1
27.7;False;61;True;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;False;True;0
29.2;True;54;True;True;True;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;True;True;False;False;False;True;False;False;True;False;True;False;True;False;True;False;False;True;True;1
27.7;False;58;True;False;True;False;False;True;False;False;False;False;True;False;False;True;True;False;False;False;12;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;True;False;True;False;False;False;True;True;0
27.7;True;42;True;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;True;False;False;True;False;False;False;False;False;True;False;True;True;False;False;False;True;False;1
27.5;True;38;True;True;False;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;False;True;False;False;True;False;True;False;True;False;True;False;False;False;True;0
27.5;False;35;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;False;False;True;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;True;False;False;False;False;True;False;True;False;True;False;True;False;True;0
27.7;False;42;True;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;True;True;False;True;False;False;False;True;False;True;True;False;False;False;False;True;1
30.9;True;53;True;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;1;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False;True;False;False;False;False;True;False;True;True;False;False;True;True;False;0
22.3;False;52;True;True;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;False;True;False;True;False;False;False;False;True;False;True;True;False;False;False;False;True;0
29.2;False;60;True;True;True;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;3;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;True;False;True;True;0
27.7;True;49;True;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;True;True;False;False;False;True;False;True;False;True;False;False;True;False;1
29.2;True;47;True;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;True;True;False;False;True;False;True;False;True;False;True;False;True;True;True;1
21.7;True;51;True;True;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;True;False;False;False;True;True;True;False;False;True;True;False;False;True;False;True;True;False;False;True;1
27.7;True;41;True;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;True;True;False;False;False;False;True;1
27.7;True;59;True;False;True;False;True;False;False;True;False;False;False;True;False;False;False;True;False;False;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;False;False;True;False;False;False;True;True;True;True;True;False;False;True;False;True;False;True;True;False;False;False;1
27.5;True;53;False;True;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;True;False;False;False;True;False;False;True;False;True;False;True;False;True;True;False;False;False;1
21.7;False;47;True;False;False;False;True;False;False;False;False;False;True;False;True;False;True;False;False;False;2;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;True;False;False;True;False;True;True;False;True;False;False;True;True;False;False;False;False;False;0
27.5;True;45;False;False;False;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;2;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;False;False;True;False;True;False;True;False;False;True;False;True;False;True;True;False;True;False;0
26.8;True;31;True;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;2;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;True;False;False;False;True;True;False;False;True;False;True;False;True;False;True;False;True;False;1
26.2;True;50;True;True;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;8;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;True;True;False;False;False;True;True;1
26.2;True;28;True;False;True;False;False;True;False;False;False;False;True;True;False;False;False;True;False;False;4;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;True;False;True;True;False;True;False;False;True;1
27.7;False;31;True;False;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;False;True;True;False;False;False;False;False;0
26.8;False;55;True;False;True;False;False;True;False;False;False;False;True;True;False;False;True;False;False;False;1;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;True;True;True;False;False;True;False;True;False;True;False;False;False;False;1
27.7;False;28;True;True;True;False;True;False;False;False;False;False;True;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;False;False;True;False;False;True;False;True;False;True;False;False;True;False;True;True;False;False;False;False;True;0
21.7;True;30;True;True;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;3;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;False;False;True;False;True;False;False;False;False;False;True;False;True;False;True;True;False;False;True;0
30.9;True;48;True;False;True;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;5;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;True;False;True;True;False;False;True;True;False;1
